type,device,instruction,input,output,
基本防火墙,Fortinet FortiGate,配置 FortiGate 的静态路由。,,config router static\nedit 2\nset dst 192.168.2.0 255.255.255.0\nset gateway 192.168.1.254\nset device internal1\nnext\nend,
基本防火墙,Fortinet FortiGate,配置 FortiGate 以允许内部网络访问外部网络。,,config firewall policy\nedit 3\nset name \"Internal to External\"\nset srcintf \"internal1\"\nset dstintf \"wan1\"\nset action accept\nset schedule always\nset service ALL\nnext\nend,
基本防火墙,Fortinet FortiGate,配置 FortiGate 的 IPsec VPN 连接,,config vpn ipsec phase1-interface\nedit VPN-Connection\nset interface \"wan1\"\nset mode main\nset proposal aes256-sha256\nset dhgrp 14\nset remote-gw 10.0.0.1\nset psksecret MySecretKey\nnext\nend\n\nconfig vpn ipsec phase2-interface\nedit VPN-Connection\nset phase1name VPN-Connection\nset proposal aes256-sha256\nnext\nend,
基本防火墙,Fortinet FortiGate,配置 FortiGate 的 DHCP 服务器,,config system dhcp server\nedit 1\nset interface \"internal1\"\nset lease-time 3600\nset ip-range 192.168.1.10 192.168.1.100\nnext\nend,
基本防火墙,Fortinet FortiGate,配置 FortiGate 的日志记录,,config log settings\nset loglevel information\nset logserver 192.168.1.200\nend,
基本防火墙,Fortinet FortiGate,配置 FortiGate 的防火墙策略,,config firewall policy\nedit 4\nset name \"Default Policy\"\nset srcintf \"internal1\"\nset dstintf \"wan1\"\nset action accept\nset schedule always\nset service HTTP HTTPS\nnext\nend,
基本防火墙,Palo Alto Networks Next-Generation Firewall,配置 Palo Alto Networks Next-Generation Firewall 接口的 IP 地址。,,configure\nset interface ethernet1/1 ip 192.168.1.1/24\ncommit\n\n# 这将配置接口 ethernet1/1 的 IP 地址为 192.168.1.1，并设置子网掩码为 255.255.255.0。\n# 使用 'commit' 命令来应用配置更改。,
基本防火墙,Palo Alto Networks Next-Generation Firewall,配置 Palo Alto Networks Next-Generation Firewall 的默认网关。,,configure\nset deviceconfig system default-gateway 192.168.1.254\ncommit\n\n# 这将设置默认网关的 IP 地址为 192.168.1.254。\n# 使用 'commit' 命令来应用配置更改。,
基本防火墙,Palo Alto Networks Next-Generation Firewall,配置 Palo Alto Networks Next-Generation Firewall 的 NAT，以允许内部网络通过外部接口访问互联网。,,configure\nset rulebase nat rules NAT-Rule1 source-zone trust destination-zone untrust source-address 192.168.1.0/24 destination-address any service any translation-type dynamic-ip-and-port interface-address ethernet1/2\ncommit\n\n# 这将创建一个 NAT 规则，允许源自 trust 区域的流量通过 untrust 区域，使用动态 IP 和端口。\n# 'interface-address' 参数指定 NAT 规则应用的外部接口为 ethernet1/2。\n# 使用 'commit' 命令来应用配置更改。,
基本防火墙,Palo Alto Networks Next-Generation Firewall,配置 Palo Alto Networks Next-Generation Firewall 的访问控制策略以允许 HTTP 流量。,,configure\nset rulebase security rules Allow-HTTP from trust to untrust source any destination any application web-browsing action allow\ncommit\n\n# 这将创建一个安全策略规则，允许从 trust 区域到 untrust 区域的 HTTP 流量。\n# 'application' 参数指定允许的服务为 web-browsing（HTTP）。\n# 使用 'commit' 命令来应用配置更改。,
基本防火墙,Palo Alto Networks Next-Generation Firewall,配置 Palo Alto Networks Next-Generation Firewall 的静态路由,,configure\nset virtual-router default routing-table ip static-route Route-to-192.168.2.0 destination 192.168.2.0/24 nexthop ip-address 192.168.1.254\ncommit\n\n# 这将配置一条静态路由，将目的网络 192.168.2.0/24 的流量引导到下一跳 IP 地址 192.168.1.254。\n# 使用 'commit' 命令来应用配置更改。,
基本防火墙,Palo Alto Networks Next-Generation Firewall,配置 Palo Alto Networks Next-Generation Firewall 以允许内部网络访问外部网络。,,configure\nset rulebase security rules Allow-Internal-To-External from trust to untrust source any destination any application any action allow\ncommit\n\n# 这将创建一个安全策略规则，允许从 trust 区域到 untrust 区域的所有流量。\n# 'application any' 表示允许所有应用程序流量。\n# 使用 'commit' 命令来应用配置更改。",
基本防火墙,Palo Alto Networks Next-Generation Firewall,配置 Palo Alto Networks Next-Generation Firewall 的 IPsec VPN 连接。,,configure\nset network ike gateway VPN-Connection address 10.0.0.1 netmask 255.255.255.255 interface ethernet1/2 authentication pre-shared-key MySecretKey\nset network ike crypto-profiles ike-crypto-profile VPN-Connection encryption aes-256 integrity sha256\nset network ipsec tunnel VPN-Connection ike-gateway VPN-Connection crypto-profile VPN-Connection\ncommit\n\n# 这将配置一个 IPsec VPN 连接，包括设置 IKE 网关、加密和完整性算法、预共享密钥。\n# 'set network ike crypto-profiles' 命令指定加密算法和完整性算法。\n# 'set network ipsec tunnel' 命令配置 IPsec 隧道，并将 IKE 网关和加密配置文件与 VPN 连接关联。\n# 使用 'commit' 命令来应用配置更改。,
基本防火墙,Palo Alto Networks Next-Generation Firewall,配置 Palo Alto Networks Next-Generation Firewall 的 DHCP 服务器。,,configure\nset network dhcp server interface ethernet1/1\nset network dhcp server ip-range 192.168.1.10 192.168.1.100\nset network dhcp server lease-time 3600\ncommit\n\n# 这将配置 DHCP 服务器在接口 ethernet1/1 上提供地址池 192.168.1.10-192.168.1.100，租期为 3600 秒。\n# 使用 'commit' 命令来应用配置更改。,
基本防火墙,Palo Alto Networks Next-Generation Firewall,配置 Palo Alto Networks Next-Generation Firewall 的日志记录。,,configure\nset logging-servers syslog-server 192.168.1.200 port 514\nset logging-servers syslog-server log-level informational\ncommit\n\n# 这将配置日志服务器的 IP 地址为 192.168.1.200，并设置日志级别为 informational。\n# 使用 'commit' 命令来应用配置更改。,
基本防火墙,Palo Alto Networks Next-Generation Firewall,配置 Palo Alto Networks Next-Generation Firewall 的防火墙策略。,,configure\nset rulebase security rules Default-Policy from trust to untrust source any destination any application web-browsing ssl action allow\ncommit\n\n# 这将创建一个安全策略规则，允许从 trust 区域到 untrust 区域的 HTTP 和 HTTPS 流量。\n# 'application web-browsing ssl' 表示允许 HTTP 和 HTTPS 流量。\n# 使用 'commit' 命令来应用配置更改。,
基本防火墙,Juniper Networks SRX,配置 Juniper Networks SRX 接口的 IP 地址。,,configure\nset interfaces ge-0/0/0 unit 0 family inet address 192.168.1.1/24\ncommit\n\n# 这将配置接口 ge-0/0/0 的 IP 地址为 192.168.1.1，并设置子网掩码为 255.255.255.0。\n# 使用 'commit' 命令来应用配置更改。,
基本防火墙,Juniper Networks SRX,配置 Juniper Networks SRX 的默认网关。,,configure\nset routing-options static route 0.0.0.0/0 next-hop 192.168.1.254\ncommit\n\n# 这将设置默认网关的 IP 地址为 192.168.1.254。\n# 使用 'commit' 命令来应用配置更改。,
基本防火墙,Juniper Networks SRX,配置 Juniper Networks SRX 的 NAT，以允许内部网络通过外部接口访问互联网。,,configure\nset security nat source rule-set source-nat from zone trust\nset security nat source rule-set source-nat to zone untrust\nset security nat source rule-set source-nat rule source-nat-rule match source-address 192.168.1.0/24\nset security nat source rule-set source-nat rule source-nat-rule then source-nat interface\ncommit\n\n# 这将创建一个 NAT 规则，将来自 trust 区域的流量通过 untrust 区域。\n# 'source-nat interface' 表示使用接口的 IP 地址作为源地址。\n# 使用 'commit' 命令来应用配置更改。,
基本防火墙,Juniper Networks SRX,配置 Juniper Networks SRX 的访问控制策略以允许 HTTP 流量。,,configure\nset security policies from-zone trust to-zone untrust policy Allow-HTTP match source-address any destination-address any application junos-http\nset security policies from-zone trust to-zone untrust policy Allow-HTTP then permit\ncommit\n\n# 这将创建一个安全策略规则，允许从 trust 区域到 untrust 区域的 HTTP 流量。\n# 'application junos-http' 表示允许 HTTP 流量。\n# 使用 'commit' 命令来应用配置更改。,
基本防火墙,Juniper Networks SRX,配置 Juniper Networks SRX 的静态路由。,,configure\nset routing-options static route 192.168.2.0/24 next-hop 192.168.1.254\ncommit\n\n# 这将配置一条静态路由，将目的网络 192.168.2.0/24 的流量引导到下一跳 IP 地址 192.168.1.254。\n# 使用 'commit' 命令来应用配置更改。",
基本防火墙,Juniper Networks SRX,配置 Juniper Networks SRX 以允许内部网络访问外部网络。,,configure\nset security policies from-zone trust to-zone untrust policy Allow-Internal-To-External match source-address any destination-address any application any\nset security policies from-zone trust to-zone untrust policy Allow-Internal-To-External then permit\ncommit\n\n# 这将创建一个安全策略规则，允许从 trust 区域到 untrust 区域的所有流量。\n# 'application any' 表示允许所有应用程序流量。\n# 使用 'commit' 命令来应用配置更改。" },
基本防火墙,Juniper Networks SRX,配置 Juniper Networks SRX 的 IPsec VPN 连接,,configure\nset security ike gateway VPN-Connection address 10.0.0.1 external-interface ge-0/0/1 ike-policy IKE-Policy\nset security ike policy IKE-Policy mode main proposal-set standard pre-shared-key ascii-text MySecretKey\nset security ipsec policy IPsec-Policy proposal-set standard encryption-algorithm aes-256 authentication-algorithm sha256\nset security ipsec vpn VPN-Connection ike gateway VPN-Connection ipsec-policy IPsec-Policy\ncommit\n\n# 这将配置一个 IPsec VPN 连接，包括设置 IKE 网关、加密和完整性算法、预共享密钥。\n# 'ike policy' 配置 IKE 策略，'ipsec policy' 配置 IPsec 策略。\n# 使用 'commit' 命令来应用配置更改。,
基本防火墙,Juniper Networks SRX,配置 Juniper Networks SRX 的 DHCP 服务器。,,configure\nset system services dhcp pool DHCP-Pool address-range low 192.168.1.10 high 192.168.1.100\nset system services dhcp pool DHCP-Pool lease-time 3600\nset interfaces ge-0/0/0 unit 0 family inet dhcp-server-group DHCP-Pool\ncommit\n\n# 这将配置 DHCP 服务器在接口 ge-0/0/0 上提供地址池 192.168.1.10-192.168.1.100，租期为 3600 秒。\n# 使用 'commit' 命令来应用配置更改。,
基本防火墙,Juniper Networks SRX,配置 Juniper Networks SRX 的日志记录。,,configure\nset system syslog host 192.168.1.200 any informational\ncommit\n\n# 这将配置日志服务器的 IP 地址为 192.168.1.200，并设置日志级别为 informational。\n# 使用 'commit' 命令来应用配置更改。,
基本防火墙,Juniper Networks SRX,配置 Juniper Networks SRX 的防火墙策略,,configure\nset security policies from-zone trust to-zone untrust policy Default-Policy match source-address any destination-address any application junos-http junos-https\nset security policies from-zone trust to-zone untrust policy Default-Policy then permit\ncommit\n\n# 这将创建一个安全策略规则，允许从 trust 区域到 untrust 区域的 HTTP 和 HTTPS 流量。\n# 'application junos-http junos-https' 表示允许 HTTP 和 HTTPS 流量。\n# 使用 'commit' 命令来应用配置更改。,
基本防火墙,Check Point Firewall,配置 Check Point Firewall 接口的 IP 地址。,,set interface eth0 ip-address 192.168.1.1 mask 255.255.255.0\n\n# 这将配置接口 eth0 的 IP 地址为 192.168.1.1，并设置子网掩码为 255.255.255.0。\n# 使用 'set interface' 命令来应用配置更改。,
基本防火墙,Check Point Firewall,配置 Check Point Firewall 的默认网关。,,set static-route 0.0.0.0/0 nexthop gateway 192.168.1.254\n\n# 这将设置默认网关的 IP 地址为 192.168.1.254。\n# 使用 'set static-route' 命令来应用配置更改。,
基本防火墙,Check Point Firewall,配置 Check Point Firewall 的 NAT，以允许内部网络通过外部接口访问互联网。,,set nat rule 1 source-address 192.168.1.0/24 nat-type dynamic\nset nat rule 1 external-interface eth1\n\n# 这将创建一个 NAT 规则，将来自内部网络 192.168.1.0/24 的流量通过外部接口 eth1 进行转换。\n# 使用 'set nat rule' 命令来应用配置更改。,
基本防火墙,Check Point Firewall,配置 Check Point Firewall 的访问控制策略以允许 HTTP 流量,,add rule name Allow-HTTP source-network any destination-network any service HTTP action accept\n\n# 这将创建一个规则，允许来自任何源网络到任何目标网络的 HTTP 流量。\n# 使用 'add rule' 命令来应用配置更改。,
基本防火墙,Check Point Firewall,配置 Check Point Firewall 的静态路由。,,set static-route 192.168.2.0/24 nexthop gateway 192.168.1.254\n\n# 这将配置一条静态路由，将目的网络 192.168.2.0/24 的流量引导到下一跳 IP 地址 192.168.1.254。\n# 使用 'set static-route' 命令来应用配置更改。,
基本防火墙,Check Point Firewall,配置 Check Point Firewall 的 IPsec VPN 连接。,,add vpn ipsec-site-to-site gateway VPN-Connection remote-gateway 10.0.0.1 encryption-algorithm aes256 integrity-algorithm sha256 shared-secret MySecretKey\n\n# 这将配置一个 IPsec VPN 连接，包括设置远程网关 IP 地址、加密和完整性算法、预共享密钥。\n# 使用 'add vpn' 命令来应用配置更改。,
基本防火墙,Check Point Firewall,配置 Check Point Firewall 的 DHCP 服务器。,,set dhcp server pool name DHCP-Pool range 192.168.1.10 192.168.1.100 lease-time 3600\n\n# 这将配置 DHCP 服务器提供地址池 192.168.1.10-192.168.1.100，租期为 3600 秒。\n# 使用 'set dhcp server pool' 命令来应用配置更改。,
基本防火墙,Check Point Firewall,配置 Check Point Firewall 的日志记录。,,set logging server 192.168.1.200 log-level informational\n\n# 这将配置日志服务器的 IP 地址为 192.168.1.200，并设置日志级别为 informational。\n# 使用 'set logging server' 命令来应用配置更改。,
基本防火墙,Check Point Firewall,配置 Check Point Firewall 的防火墙策略。,,"add rule name Default-Policy source-network any destination-network any service HTTP,HTTPS action accept\n\n# 这将创建一个规则，允许来自任何源网络到任何目标网络的 HTTP 和 HTTPS 流量。\n# 使用 'add rule' 命令来应用配置更改。",
基本防火墙,SonicWall,配置 SonicWall 防火墙接口的 IP 地址。,,interface X1\nip address 192.168.1.1 255.255.255.0\n\n# 这将为接口 X1 配置 IP 地址 192.168.1.1 和子网掩码 255.255.255.0。\n# 使用 'interface' 命令进入接口配置模式，然后使用 'ip address' 命令设置 IP 地址。,
基本防火墙,SonicWall,配置 SonicWall 防火墙的默认网关,,ip route 0.0.0.0 0.0.0.0 192.168.1.254\n\n# 这将设置默认网关的 IP 地址为 192.168.1.254。\n# 使用 'ip route' 命令配置静态路由，其中 '0.0.0.0 0.0.0.0' 表示默认路由。,
基本防火墙,SonicWall,配置 SonicWall 防火墙的 NAT 规则以允许内部网络通过外部接口访问互联网。,,nat-policy add rule source 192.168.1.0/24 destination any service any action translate source interface X2\n\n# 这将创建一个 NAT 规则，将来自内部网络 192.168.1.0/24 的流量通过外部接口 X2 进行转换。\n# 使用 'nat-policy add rule' 命令来添加 NAT 规则。,
基本防火墙,SonicWall,配置 SonicWall 防火墙的访问控制策略以允许 HTTP 流量。,,access-rule add source any destination any service HTTP action allow\n\n# 这将创建一个访问规则，允许来自任何源网络到任何目标网络的 HTTP 流量。\n# 使用 'access-rule add' 命令来添加访问控制规则。,
基本防火墙,SonicWall,配置 SonicWall 防火墙的静态路由。,,ip route 192.168.2.0 255.255.255.0 192.168.1.254\n\n# 这将配置一条静态路由，将目的网络 192.168.2.0/24 的流量引导到下一跳 IP 地址 192.168.1.254。\n# 使用 'ip route' 命令来设置静态路由。,
基本防火墙,SonicWall,配置 SonicWall 防火墙以允许内部网络访问外部网络。,,access-rule add source 192.168.1.0/24 destination any service any action allow\n\n# 这将创建一个规则，允许来自 192.168.1.0/24 的流量访问任何目标网络。\n# 'service any' 表示允许所有服务流量。\n# 使用 'access-rule add' 命令来添加访问控制规则。" },
基本防火墙,SonicWall,配置 SonicWall 防火墙的 IPsec VPN 连接。,,vpn policy add name VPN-Connection type ipsec gateway 10.0.0.1 encryption aes256 integrity sha256 shared-secret MySecretKey\n\n# 这将配置一个 IPsec VPN 连接，包括设置远程网关 IP 地址、加密和完整性算法、预共享密钥。\n# 使用 'vpn policy add' 命令来添加 VPN 政策。,
基本防火墙,SonicWall,配置 SonicWall 防火墙的 DHCP 服务器。,,dhcp-server add pool DHCP-Pool 192.168.1.10 192.168.1.100 lease-time 3600\n\n# 这将配置 DHCP 服务器提供地址池 192.168.1.10-192.168.1.100，租期为 3600 秒。\n# 使用 'dhcp-server add pool' 命令来配置 DHCP 地址池。,
基本防火墙,SonicWall,配置 SonicWall 防火墙的日志记录。,,log-settings set level informational server 192.168.1.200\n\n# 这将配置日志服务器的 IP 地址为 192.168.1.200，并设置日志级别为 informational。\n# 使用 'log-settings set' 命令来配置日志记录设置。,
基本防火墙,SonicWall,配置 SonicWall 防火墙的防火墙策略。,,"access-rule add name Default-Policy source any destination any service HTTP,HTTPS action allow\n\n# 这将创建一个规则，允许来自任何源网络到任何目标网络的 HTTP 和 HTTPS 流量。\n# 使用 'access-rule add' 命令来添加访问控制规则。",
基本防火墙,Barracuda NextGen Firewall,配置 Barracuda NextGen Firewall 的接口 IP 地址。,,configure\ninterface eth1\nip address 192.168.1.1/24\ncommit\n\n# 这将为接口 eth1 配置 IP 地址 192.168.1.1 和子网掩码 255.255.255.0。\n# 使用 'configure' 命令进入配置模式，然后使用 'interface' 命令进入接口配置模式，接着使用 'ip address' 命令设置 IP 地址，最后使用 'commit' 命令应用配置。,
基本防火墙,Barracuda NextGen Firewall,配置 Barracuda NextGen Firewall 的默认网关。,,configure\nip default-gateway 192.168.1.254\ncommit\n\n# 这将设置默认网关的 IP 地址为 192.168.1.254。\n# 使用 'configure' 命令进入配置模式，然后使用 'ip default-gateway' 命令设置默认网关，最后使用 'commit' 命令应用配置。,
基本防火墙,Barracuda NextGen Firewall,配置 Barracuda NextGen Firewall 的 NAT 规则以允许内部网络通过外部接口访问互联网。,,configure\nnat add rule from 192.168.1.0/24 to any via eth2\ncommit\n\n# 这将创建一个 NAT 规则，将来自内部网络 192.168.1.0/24 的流量通过外部接口 eth2 进行转换。\n# 使用 'configure' 命令进入配置模式，然后使用 'nat add rule' 命令添加 NAT 规则，最后使用 'commit' 命令应用配置。,
基本防火墙,Barracuda NextGen Firewall,配置 Barracuda NextGen Firewall 的访问控制策略以允许 HTTP 流量。,,configure\naccess-list add rule allow from any to any service HTTP\ncommit\n\n# 这将创建一个访问规则，允许来自任何源网络到任何目标网络的 HTTP 流量。\n# 使用 'configure' 命令进入配置模式，然后使用 'access-list add rule' 命令添加访问控制规则，最后使用 'commit' 命令应用配置。,
基本防火墙,Barracuda NextGen Firewall,配置 Barracuda NextGen Firewall 的静态路由。,,configure\nip route 192.168.2.0/24 192.168.1.254\ncommit\n\n# 这将配置一条静态路由，将目的网络 192.168.2.0/24 的流量引导到下一跳 IP 地址 192.168.1.254。\n# 使用 'configure' 命令进入配置模式，然后使用 'ip route' 命令设置静态路由，最后使用 'commit' 命令应用配置。,
基本防火墙,Barracuda NextGen Firewall,配置 Barracuda NextGen Firewall 以允许内部网络访问外部网络。,,configure\naccess-list add rule allow from 192.168.1.0/24 to any service any\ncommit\n\n# 这将创建一个规则，允许来自 192.168.1.0/24 的流量访问任何目标网络。\n# 'service any' 表示允许所有服务流量。\n# 使用 'configure' 命令进入配置模式，然后使用 'access-list add rule' 命令添加访问控制规则，最后使用 'commit' 命令应用配置。,
基本防火墙,Barracuda NextGen Firewall,配置 Barracuda NextGen Firewall 的 IPsec VPN 连接。,,configure\nvpn ipsec add policy name VPN-Connection gateway 10.0.0.1 encryption aes256 integrity sha256 shared-secret MySecretKey\ncommit\n\n# 这将配置一个 IPsec VPN 连接，包括设置远程网关 IP 地址、加密和完整性算法、预共享密钥。\n# 使用 'configure' 命令进入配置模式，然后使用 'vpn ipsec add policy' 命令添加 VPN 策略，最后使用 'commit' 命令应用配置。,
基本防火墙,Barracuda NextGen Firewall,配置 Barracuda NextGen Firewall 的 DHCP 服务器。,,configure\ndhcp add pool DHCP-Pool range 192.168.1.10-192.168.1.100 lease-time 3600\ncommit\n\n# 这将配置 DHCP 服务器提供地址池 192.168.1.10-192.168.1.100，租期为 3600 秒。\n# 使用 'configure' 命令进入配置模式，然后使用 'dhcp add pool' 命令配置 DHCP 地址池，最后使用 'commit' 命令应用配置。,
基本防火墙,Barracuda NextGen Firewall,配置 Barracuda NextGen Firewall 的日志记录。,,configure\nlog-settings set level informational server 192.168.1.200\ncommit\n\n# 这将配置日志服务器的 IP 地址为 192.168.1.200，并设置日志级别为 informational。\n# 使用 'configure' 命令进入配置模式，然后使用 'log-settings set' 命令配置日志记录设置，最后使用 'commit' 命令应用配置。,
基本防火墙,Barracuda NextGen Firewall,配置 Barracuda NextGen Firewall 的防火墙策略。,,"configure\naccess-list add name Default-Policy source any destination any service HTTP,HTTPS action allow\ncommit\n\n# 这将创建一个规则，允许来自任何源网络到任何目标网络的 HTTP 和 HTTPS 流量。\n# 使用 'configure' 命令进入配置模式，然后使用 'access-list add' 命令添加访问控制规则，最后使用 'commit' 命令应用配置。",
基本防火墙,WatchGuard Firebox,配置 WatchGuard Firebox 的接口 IP 地址。,,configure\ninterface eth0\nip address 192.168.1.1/24\nexit\nsave\n\n# 这将为接口 eth0 配置 IP 地址 192.168.1.1 和子网掩码 255.255.255.0。\n# 使用 'configure' 命令进入配置模式，然后使用 'interface' 命令进入接口配置模式，接着使用 'ip address' 命令设置 IP 地址，最后使用 'save' 命令保存配置。",
基本防火墙,WatchGuard Firebox,配置 WatchGuard Firebox 的默认网关。,,configure\nip default-gateway 192.168.1.254\nexit\nsave\n\n# 这将设置默认网关的 IP 地址为 192.168.1.254。\n# 使用 'configure' 命令进入配置模式，然后使用 'ip default-gateway' 命令设置默认网关，最后使用 'save' 命令保存配置。,
基本防火墙,WatchGuard Firebox,配置 WatchGuard Firebox 的 NAT 规则以允许内部网络通过外部接口访问互联网。,,configure\nnat add rule from 192.168.1.0/24 to any via eth1\nexit\nsave\n\n# 这将创建一个 NAT 规则，将来自内部网络 192.168.1.0/24 的流量通过外部接口 eth1 进行转换。\n# 使用 'configure' 命令进入配置模式，然后使用 'nat add rule' 命令添加 NAT 规则，最后使用 'save' 命令保存配置。,
基本防火墙,WatchGuard Firebox,配置 WatchGuard Firebox 的访问控制策略以允许 HTTP 流量。,,configure\naccess-list add rule allow from any to any service HTTP\nexit\nsave\n\n# 这将创建一个访问规则，允许来自任何源网络到任何目标网络的 HTTP 流量。\n# 使用 'configure' 命令进入配置模式，然后使用 'access-list add rule' 命令添加访问控制规则，最后使用 'save' 命令保存配置。,
基本防火墙,WatchGuard Firebox,配置 WatchGuard Firebox 的静态路由。,,configure\nip route 192.168.2.0/24 192.168.1.254\nexit\nsave\n\n# 这将配置一条静态路由，将目的网络 192.168.2.0/24 的流量引导到下一跳 IP 地址 192.168.1.254。\n# 使用 'configure' 命令进入配置模式，然后使用 'ip route' 命令设置静态路由，最后使用 'save' 命令保存配置。,
基本防火墙,WatchGuard Firebox,配置 WatchGuard Firebox 以允许内部网络访问外部网络。,,configure\naccess-list add rule allow from 192.168.1.0/24 to any service any\nexit\nsave\n\n# 这将创建一个规则，允许来自 192.168.1.0/24 的流量访问任何目标网络。\n# 'service any' 表示允许所有服务流量。\n# 使用 'configure' 命令进入配置模式，然后使用 'access-list add rule' 命令添加访问控制规则，最后使用 'save' 命令保存配置。,
基本防火墙,WatchGuard Firebox,配置 WatchGuard Firebox 的 IPsec VPN 连接。,,configure\nvpn ipsec add policy name VPN-Connection gateway 10.0.0.1 encryption aes256 integrity sha256 shared-secret MySecretKey\nexit\nsave\n\n# 这将配置一个 IPsec VPN 连接，包括设置远程网关 IP 地址、加密和完整性算法、预共享密钥。\n# 使用 'configure' 命令进入配置模式，然后使用 'vpn ipsec add policy' 命令添加 VPN 策略，最后使用 'save' 命令保存配置。,
基本防火墙,WatchGuard Firebox,配置 WatchGuard Firebox 的 DHCP 服务器。,,configure\ndhcp add pool DHCP-Pool range 192.168.1.10-192.168.1.100 lease-time 3600\nexit\nsave\n\n# 这将配置 DHCP 服务器提供地址池 192.168.1.10-192.168.1.100，租期为 3600 秒。\n# 使用 'configure' 命令进入配置模式，然后使用 'dhcp add pool' 命令配置 DHCP 地址池，最后使用 'save' 命令保存配置。,
基本防火墙,WatchGuard Firebox,配置 WatchGuard Firebox 的日志记录。,,configure\nlog-settings set level informational server 192.168.1.200\nexit\nsave\n\n# 这将配置日志服务器的 IP 地址为 192.168.1.200，并设置日志级别为 informational。\n# 使用 'configure' 命令进入配置模式，然后使用 'log-settings set' 命令配置日志记录设置，最后使用 'save' 命令保存配置。,
基本防火墙,WatchGuard Firebox,配置 WatchGuard Firebox 的防火墙策略。,,"configure\naccess-list add name Default-Policy source any destination any service HTTP,HTTPS action allow\nexit\nsave\n\n# 这将创建一个规则，允许来自任何源网络到任何目标网络的 HTTP 和 HTTPS 流量。\n# 使用 'configure' 命令进入配置模式，然后使用 'access-list add' 命令添加访问控制规则，最后使用 'save' 命令保存配置。",
基本防火墙,Sophos XG Firewall,配置 Sophos XG Firewall 的接口 IP 地址。,,console> system ipset interface Port1 192.168.1.1/24\nconsole> system ipset apply\n\n# 这将为接口 Port1 配置 IP 地址 192.168.1.1 和子网掩码 255.255.255.0。\n# 使用 'system ipset interface' 命令设置 IP 地址，然后使用 'system ipset apply' 命令应用配置。,
