type,device,json,instruction,input,output
,Fortinet FortiGate,,配置静态路由以将流量引导到特定的下一跳网关。,目标网络: 10.1.1.0/24，下一跳网关: 192.168.1.1。,1. 进入配置模式:\n 指令: `config router static`\n\n2. 添加静态路由:\n 指令: `edit 1`\n `set dst 10.1.1.0/24`\n `set gateway 192.168.1.1`\n `set device port1`\n\n3. 提交配置并退出:\n 指令: `end`
,Fortinet FortiGate,,配置安全策略以允许 HTTP 流量从内部网络到外部网络。,源接口: port1，目标接口: port2，服务: HTTP。,1. 进入配置模式:\n 指令: `config firewall policy`\n\n2. 创建新的安全策略:\n 指令: `edit 0`\n `set srcintf port1`\n `set dstintf port2`\n `set srcaddr all`\n `set dstaddr all`\n `set action accept`\n `set schedule always`\n `set service HTTP`\n `set logtraffic all`\n\n3. 提交配置并退出:\n 指令: `next`\n `end`
,Fortinet FortiGate,,配置NAT以将内部服务器的私有IP映射到公共IP。,内部服务器 IP 地址: 192.168.1.10，公共 IP 地址: 203.0.113.10。,1. 进入配置模式:\n 指令: `config firewall ippool`\n\n2. 创建 IP 池:\n 指令: `edit 'nat_pool'`\n `set startip 203.0.113.10`\n `set endip 203.0.113.10`\n `set type one-to-one`\n\n3. 退出并进入防火墙策略配置:\n 指令: `next`\n `config firewall policy`\n\n4. 创建 NAT 规则:\n 指令: `edit 0`\n `set srcintf port1`\n `set dstintf port2`\n `set srcaddr 'all'`\n `set dstaddr 'all'`\n `set action accept`\n `set schedule 'always'`\n `set service 'ALL'`\n `set nat enable`\n `set ippool enable`\n `set poolname 'nat_pool'`\n\n5. 提交配置并退出:\n 指令: `next`\n `end`
,Fortinet FortiGate,,配置SSL VPN以允许远程用户通过安全通道访问内部网络,VPN 网关 IP 地址: 203.0.113.20。,1. 进入配置模式:\n 指令: `config vpn ssl settings`\n\n2. 设置 VPN 接口:\n 指令: `set servercert 'Fortinet_Factory'`\n `set tunnel-ip-pools 'SSLVPN_TUNNEL_ADDR1'`\n `set tunnel-ipv6-pools 'SSLVPN_TUNNEL_IPv6_ADDR1'`\n `set port 443`\n `set source-interface 'port1'`\n `set source-address 'all'`\n `set default-portal 'web-access'`\n\n3. 退出并配置用户组:\n 指令: `end`\n `config user group`\n\n4. 创建用户组并添加成员:\n 指令: `edit 'SSL_VPN_User_Group'`\n `set member 'SSL_VPN_Users'`\n\n5. 提交配置并退出:\n 指令: `next`\n `end`
,Fortinet FortiGate,,配置防火墙升级以确保设备运行最新的安全特性。,新固件版本: 6.4.5。,1. 登录到 FortiGate 管理界面。\n\n2. 导航到系统 > 固件。\n\n3. 检查更新并下载版本 6.4.5。\n\n4. 安装新固件。\n\n5. 提交配置并重启设备以应用更新。
,Check Point Firewall,,配置静态路由以将流量引导到特定的下一跳网关。,目标网络: 10.1.1.0/24，下一跳网关: 192.168.1.1。,1. 进入 clish 配置模式:\n 指令: `clish`\n\n2. 添加静态路由:\n 指令: `set static-route 10.1.1.0/24 nexthop gateway address 192.168.1.1 on`\n\n3. 保存配置:\n 指令: `save config`
,Check Point Firewall,,配置安全策略以允许 HTTP 流量从内部网络到外部网络。,源接口: 内部网络，目标接口: 外部网络，服务: HTTP。,1. 打开 SmartDashboard。\n\n2. 创建新的安全策略规则:\n a. 右键点击策略界面并选择“添加规则”。\n b. 设置源为内部网络。\n c. 设置目的地为外部网络。\n d. 设置服务为 HTTP。\n e. 设置动作为“接受”。\n\n3. 安装策略:\n a. 点击“安装政策”按钮。\n b. 选择目标网关并点击“确定”。
,Check Point Firewall,,配置NAT以将内部服务器的私有IP映射到公共IP。,内部服务器 IP 地址: 192.168.1.10，公共 IP 地址: 203.0.113.10。,1. 打开 SmartDashboard。\n\n2. 创建 NAT 规则:\n a. 右键点击 NAT 规则界面并选择“添加规则”。\n b. 设置源地址为内部服务器 IP 地址 192.168.1.10。\n c. 设置目的地地址为公共 IP 地址 203.0.113.10。\n d. 选择“源地址翻译”为 Hide NAT 或 Static NAT。\n\n3. 安装策略:\n a. 点击“安装政策”按钮。\n b. 选择目标网关并点击“确定”。
,Check Point Firewall,,配置 VPN 以允许远程用户通过安全通道访问内部网络。,VPN 网关 IP 地址: 203.0.113.20。,1. 打开 SmartDashboard。\n\n2. 配置 VPN 网关:\n a. 导航到网络对象并选择“添加网关”。\n b. 设置名称和 IP 地址为 203.0.113.20。\n c. 选择 VPN 选项卡并启用 VPN。\n\n3. 配置 VPN 用户组:\n a. 导航到用户对象并选择“添加用户组”。\n b. 设置用户组名称并添加成员。\n\n4. 配置 VPN 社区:\n a. 导航到 VPN 社区并选择“添加 VPN 社区”。\n b. 设置社区名称并添加网关和用户组。\n\n5. 安装策略:\n a. 点击“安装政策”按钮。\n b. 选择目标网关并点击“确定”。
,Check Point Firewall,,配置防火墙升级以确保设备运行最新的安全特性。,新固件版本: R80.40。,1. 登录到 Check Point 管理界面。\n\n2. 导航到系统 > 软件管理。\n\n3. 检查更新并下载版本 R80.40。\n\n4. 安装新固件。\n\n5. 提交配置并重启设备以应用更新。
,SonicWall,,配置静态路由以将流量引导到特定的下一跳网关。,目标网络: 10.1.1.0/24，下一跳网关: 192.168.1.1。,1. 登录到 SonicWall 管理界面。\n\n2. 导航到 `Network` > `Routing`。\n\n3. 点击 `Add` 添加静态路由。\n\n4. 配置静态路由参数:\n a. 在 `Destination Network` 中输入 `10.1.1.0/24`。\n b. 在 `Gateway` 中输入 `192.168.1.1`。\n c. 选择 `Interface` 为适当的接口。\n\n5. 点击 `OK` 保存配置。
,SonicWall,,配置安全策略以允许 HTTP 流量从内部网络到外部网络。,源接口: LAN，目标接口: WAN，服务: HTTP。,1. 登录到 SonicWall 管理界面。\n\n2. 导航到 `Firewall` > `Access Rules`。\n\n3. 在 `From LAN to WAN` 选项卡下点击 `Add`。\n\n4. 配置安全策略参数:\n a. 设置 `Source` 为 `LAN Subnets`。\n b. 设置 `Destination` 为 `Any`。\n c. 设置 `Service` 为 `HTTP`。\n d. 设置 `Action` 为 `Allow`。\n\n5. 点击 `OK` 保存配置。
,SonicWall,,配置NAT以将内部服务器的私有IP映射到公共IP。,内部服务器 IP 地址: 192.168.1.10，公共 IP 地址: 203.0.113.10。,1. 登录到 SonicWall 管理界面。\n\n2. 导航到 `Network` > `NAT Policies`。\n\n3. 点击 `Add` 添加 NAT 规则。\n\n4. 配置 NAT 规则参数:\n a. 设置 `Original Source` 为 `Any`。\n b. 设置 `Translated Source` 为 `203.0.113.10`。\n c. 设置 `Original Destination` 为 `192.168.1.10`。\n d. 设置 `Translated Destination` 为 `Original`。\n e. 设置 `Original Service` 为 `Any`。\n f. 设置 `Translated Service` 为 `Original`。\n g. 选择适当的 `Inbound Interface` 和 `Outbound Interface`。\n\n5. 点击 `OK` 保存配置。
,SonicWall,,配置 VPN 以允许远程用户通过安全通道访问内部网络。,VPN 网关 IP 地址: 203.0.113.20。,1. 登录到 SonicWall 管理界面。\n\n2. 导航到 `VPN` > `Settings`。\n\n3. 点击 `Add` 添加 VPN 策略。\n\n4. 配置 VPN 策略参数:\n a. 设置 `Policy Type` 为 `Site to Site`。\n b. 设置 `Authentication Method` 为 `IKE using Preshared Secret`。\n c. 设置 `Name` 为所需名称。\n d. 设置 `IPSec Primary Gateway Name or Address` 为 `203.0.113.20`。\n e. 输入 `Shared Secret`。\n\n5. 配置 `Network` 选项卡:\n a. 设置 `Local Networks` 为内部网络。\n b. 设置 `Destination Networks` 为远程网络。\n\n6. 点击 `OK` 保存配置。
,SonicWall,,配置防火墙升级以确保设备运行最新的安全特性。,新固件版本: 6.5.4.4。,1. 登录到 SonicWall 管理界面。\n\n2. 导航到 `System` > `Settings`。\n\n3. 点击 `Upload New Firmware` 并选择版本 6.5.4.4 的固件文件。\n\n4. 点击 `Upload` 上传固件文件。\n\n5. 固件上传完成后，点击 `Boot` 旁边的 `Boot New Firmware with Current Configuration`。\n\n6. 设备将重启并应用新的固件版本。
,Barracuda NextGen Firewall,,配置静态路由以将流量引导到特定的下一跳网关。,目标网络: 10.1.1.0/24，下一跳网关: 192.168.1.1。,1. 登录到 Barracuda NextGen Firewall 管理界面。\n\n2. 导航到 `Configuration` > `Box` > `Network`。\n\n3. 点击 `Routing` 并选择 `Static Routes`。\n\n4. 点击 `Add` 添加静态路由。\n\n5. 配置静态路由参数:\n a. 在 `Target Network Address` 中输入 `10.1.1.0/24`。\n b. 在 `Gateway Address` 中输入 `192.168.1.1`。\n\n6. 点击 `OK` 保存配置。\n\n7. 点击 `Send Changes`，然后点击 `Activate` 以应用配置。
,Barracuda NextGen Firewall,,配置安全策略以允许 HTTP 流量从内部网络到外部网络。,源接口: 内部网络，目标接口: 外部网络，服务: HTTP,1. 登录到 Barracuda NextGen Firewall 管理界面。\n\n2. 导航到 `Forwarding Firewall` > `Rules`。\n\n3. 点击 `Add` 添加新的安全策略规则。\n\n4. 配置安全策略参数:\n a. 设置 `Name` 为所需名称。\n b. 设置 `Action` 为 `Allow`。\n c. 设置 `Source` 为内部网络。\n d. 设置 `Destination` 为外部网络。\n e. 设置 `Service` 为 `HTTP`。\n\n5. 点击 `OK` 保存配置。\n\n6. 点击 `Send Changes`，然后点击 `Activate` 以应用配置。
,Barracuda NextGen Firewall,,配置NAT以将内部服务器的私有IP映射到公共IP。,内部服务器 IP 地址: 192.168.1.10，公共 IP 地址: 203.0.113.10。,1. 登录到 Barracuda NextGen Firewall 管理界面。\n\n2. 导航到 `Forwarding Firewall` > `Rules`。\n\n3. 点击 `Add` 添加新的 NAT 规则。\n\n4. 配置 NAT 规则参数:\n a. 设置 `Name` 为所需名称。\n b. 设置 `Action` 为 `Dnat`。\n c. 设置 `Source` 为 `Any`。\n d. 设置 `Destination` 为 `203.0.113.10`。\n e. 设置 `New IP Address` 为 `192.168.1.10`。\n\n5. 点击 `OK` 保存配置。\n\n6. 点击 `Send Changes`，然后点击 `Activate` 以应用配置。
,Barracuda NextGen Firewall,,配置 VPN 以允许远程用户通过安全通道访问内部网络。,VPN 网关 IP 地址: 203.0.113.20。,1. 登录到 Barracuda NextGen Firewall 管理界面。\n\n2. 导航到 `Configuration` > `VPN`。\n\n3. 点击 `Add` 添加 VPN 配置。\n\n4. 配置 VPN 参数:\n a. 设置 `VPN Type` 为 `IPsec`。\n b. 设置 `Remote Gateway` 为 `203.0.113.20`。\n c. 输入 `Shared Secret`。\n\n5. 配置 `Local Networks` 和 `Remote Networks`。\n\n6. 点击 `OK` 保存配置。\n\n7. 点击 `Send Changes`，然后点击 `Activate` 以应用配置。
,Barracuda NextGen Firewall,,配置防火墙升级以确保设备运行最新的安全特性。,新固件版本: 7.2.3。,1. 登录到 Barracuda NextGen Firewall 管理界面。\n\n2. 导航到 `Configuration` > `Box` > `Advanced Configuration` > `Firmware Update`。\n\n3. 点击 `Check for Updates`。\n\n4. 在 `Available Updates` 中选择版本 7.2.3。\n\n5. 点击 `Download and Install`。\n\n6. 安装完成后，点击 `Reboot` 重启设备以应用更新。
,WatchGuard Firebox,,配置静态路由以将流量引导到特定的下一跳网关。,目标网络: 10.1.1.0/24，下一跳网关: 192.168.1.1。,1. 登录到 WatchGuard Firebox 管理界面。\n\n2. 导航到 `Network` > `Routing`。\n\n3. 点击 `Add` 添加静态路由。\n\n4. 配置静态路由参数:\n a. 在 `Network` 中输入 `10.1.1.0/24`。\n b. 在 `Gateway` 中输入 `192.168.1.1`。\n c. 选择 `Interface` 为适当的接口。\n\n5. 点击 `Save` 保存配置。\n\n6. 点击 `Apply` 应用配置。
,WatchGuard Firebox,,配置安全策略以允许 HTTP 流量从内部网络到外部网络。,源接口: LAN，目标接口: WAN，服务: HTTP。,1. 登录到 WatchGuard Firebox 管理界面。\n\n2. 导航到 `Firewall` > `Policy`。\n\n3. 点击 `Add Policy` 添加新的安全策略。\n\n4. 配置安全策略参数:\n a. 设置 `Name` 为所需名称。\n b. 设置 `From` 为 `LAN`。\n c. 设置 `To` 为 `WAN`。\n d. 设置 `Service` 为 `HTTP`。\n e. 设置 `Action` 为 `Allow`。\n\n5. 点击 `Save` 保存配置。\n\n6. 点击 `Apply` 应用配置。
,WatchGuard Firebox,,配置NAT以将内部服务器的私有IP映射到公共IP。,内部服务器 IP 地址: 192.168.1.10，公共 IP 地址: 203.0.113.10。,1. 登录到 WatchGuard Firebox 管理界面。\n\n2. 导航到 `Firewall` > `NAT`。\n\n3. 点击 `Add` 添加 NAT 规则。\n\n4. 配置 NAT 规则参数:\n a. 设置 `Name` 为所需名称。\n b. 设置 `Original IP` 为 `192.168.1.10`。\n c. 设置 `Translated IP` 为 `203.0.113.10`。\n\n5. 点击 `Save` 保存配置。\n\n6. 点击 `Apply` 应用配置。
,WatchGuard Firebox,,配置 VPN 以允许远程用户通过安全通道访问内部网络。,VPN 网关 IP 地址: 203.0.113.20。,1. 登录到 WatchGuard Firebox 管理界面。\n\n2. 导航到 `VPN` > `Branch Office VPN`。\n\n3. 点击 `Add` 添加 VPN 配置。\n\n4. 配置 VPN 参数:\n a. 设置 `VPN Type` 为 `IPsec`。\n b. 设置 `Gateway Name` 为所需名称。\n c. 设置 `Gateway Address` 为 `203.0.113.20`。\n d. 输入 `Shared Secret`。\n\n5. 配置 `Local` 和 `Remote` 网络。\n\n6. 点击 `Save` 保存配置。\n\n7. 点击 `Activate` 应用配置。
,WatchGuard Firebox,,配置防火墙升级以确保设备运行最新的安全特性。,新固件版本: 12.6.4。,1. 登录到 WatchGuard Firebox 管理界面。\n\n2. 导航到 `System` > `Upgrade OS`。\n\n3. 点击 `Check for Upgrade` 并选择版本 12.6.4 的固件文件。\n\n4. 点击 `Download and Install`。\n\n5. 固件下载完成后，点击 `Upgrade` 升级设备。\n\n6. 升级完成后，设备将自动重启并应用新的固件版本。
,Sophos XG Firewall,"{
  ""instruction"": ""配置静态路由以将流量引导到特定的下一跳网关。"",
  ""input"": ""目标网络: 10.1.1.0/24，下一跳网关: 192.168.1.1。"",
  ""output"": ""1. 登录到 Sophos XG Firewall 管理界面。\n\n2. 导航到 `Routing` > `Static Routing`。\n\n3. 点击 `Add` 按钮添加静态路由。\n\n4. 配置静态路由参数:\n   a. 在 `Destination Network` 字段中输入 `10.1.1.0/24`。\n   b. 在 `Gateway` 字段中输入 `192.168.1.1`。\n   c. 选择相应的接口。\n\n5. 点击 `Save` 保存配置。\n\n6. 确认静态路由已添加到路由表中。""
}",,,
,Sophos XG Firewall,"{
  ""instruction"": ""配置安全策略以允许 HTTP 流量从内部网络到外部网络。"",
  ""input"": ""源接口: 内部网络，目标接口: 外部网络，服务: HTTP。"",
  ""output"": ""1. 登录到 Sophos XG Firewall 管理界面。\n\n2. 导航到 `Policies` > `Add Policy`。\n\n3. 选择 `User/Network Rule`。\n\n4. 配置安全策略参数:\n   a. 设置 `Name` 为所需名称。\n   b. 设置 `Source Zone` 为 `LAN`。\n   c. 设置 `Destination Zone` 为 `WAN`。\n   d. 设置 `Service` 为 `HTTP`。\n   e. 设置 `Action` 为 `Accept`。\n\n5. 点击 `Save` 保存配置。\n\n6. 确认策略已添加并启用。""
}",,,
,Sophos XG Firewall,"{
  ""instruction"": ""配置NAT以将内部服务器的私有IP映射到公共IP。"",
  ""input"": ""内部服务器 IP 地址: 192.168.1.10，公共 IP 地址: 203.0.113.10。"",
  ""output"": ""1. 登录到 Sophos XG Firewall 管理界面。\n\n2. 导航到 `Routing` > `NAT`。\n\n3. 点击 `Add NAT Rule` 按钮添加 NAT 规则。\n\n4. 配置 NAT 规则参数:\n   a. 设置 `Original Source` 为 `192.168.1.10`。\n   b. 设置 `Translated Source` 为 `203.0.113.10`。\n   c. 设置 `Original Destination` 和 `Translated Destination` 为相应的地址。\n\n5. 点击 `Save` 保存配置。\n\n6. 确认 NAT 规则已添加并启用。""
}",,,
,Sophos XG Firewall,"{
  ""instruction"": ""配置 VPN 以允许远程用户通过安全通道访问内部网络。"",
  ""input"": ""VPN 网关 IP 地址: 203.0.113.20。"",
  ""output"": ""1. 登录到 Sophos XG Firewall 管理界面。\n\n2. 导航到 `VPN` > `IPsec`。\n\n3. 点击 `Add` 按钮添加 VPN 配置。\n\n4. 配置 VPN 参数:\n   a. 设置 `Connection Type` 为 `Site-to-Site`。\n   b. 设置 `Gateway Type` 为 `Initiator` 或 `Responder`。\n   c. 在 `Gateway Address` 字段中输入 `203.0.113.20`。\n   d. 配置 `Authentication` 和 `Encryption` 设置。\n\n5. 点击 `Save` 保存配置。\n\n6. 启动 VPN 连接并验证其是否正常工作。""
}",,,
,Sophos XG Firewall,"{
  ""instruction"": ""配置防火墙升级以确保设备运行最新的安全特性。"",
  ""input"": ""新固件版本: 18.0.4。"",
  ""output"": ""1. 登录到 Sophos XG Firewall 管理界面。\n\n2. 导航到 `Backup & Firmware` > `Firmware`。\n\n3. 点击 `Check for Updates` 按钮检查最新的固件版本。\n\n4. 选择版本 18.0.4 并点击 `Download` 按钮下载固件。\n\n5. 下载完成后，点击 `Install` 按钮安装固件。\n\n6. 安装完成后，防火墙将自动重启并应用新的固件版本。\n\n7. 登录回管理界面并验证升级是否成功。""
}",,,
,Juniper Networks SRX,"{
  ""instruction"": ""配置静态路由以将流量引导到特定的下一跳网关。"",
  ""input"": ""目标网络: 10.1.1.0/24，下一跳网关: 192.168.1.1。"",
  ""output"": ""1. 登录到 Juniper SRX 的 CLI。\n\n2. 输入配置模式:\n   ```
   configure
   ```\n\n3. 添加静态路由:\n   ```
   set routing-options static route 10.1.1.0/24 next-hop 192.168.1.1
   ```\n\n4. 提交配置:\n   ```
   commit
   ```\n\n5. 验证静态路由:\n   ```
   show route
   ```""
}",,,
,Juniper Networks SRX,"{
  ""instruction"": ""配置安全策略以允许 HTTP 流量从内部网络到外部网络。"",
  ""input"": ""源接口: trust，目标接口: untrust，服务: HTTP。"",
  ""output"": ""1. 登录到 Juniper SRX 的 CLI。\n\n2. 输入配置模式:\n   ```
   configure
   ```\n\n3. 创建安全策略:\n   ```
   set security policies from-zone trust to-zone untrust policy allow-http match source-address any destination-address any application junos-http
   set security policies from-zone trust to-zone untrust policy allow-http then permit
   ```\n\n4. 提交配置:\n   ```
   commit
   ```\n\n5. 验证策略:\n   ```
   show security policies
   ```""
}",,,
,Juniper Networks SRX,"{
  ""instruction"": ""配置NAT以将内部服务器的私有IP映射到公共IP。"",
  ""input"": ""内部服务器 IP 地址: 192.168.1.10，公共 IP 地址: 203.0.113.10。"",
  ""output"": ""1. 登录到 Juniper SRX 的 CLI。\n\n2. 输入配置模式:\n   ```
   configure
   ```\n\n3. 配置源 NAT:\n   ```
   set security nat source rule-set src-nat from zone trust
   set security nat source rule-set src-nat to zone untrust
   set security nat source rule-set src-nat rule nat-rule match source-address 192.168.1.10/32
   set security nat source rule-set src-nat rule nat-rule then source-nat interface
   ```\n\n4. 提交配置:\n   ```
   commit
   ```\n\n5. 验证 NAT 配置:\n   ```
   show security nat source
   ```""
}",,,
,Juniper Networks SRX,"{
  ""instruction"": ""配置 VPN 以允许远程用户通过安全通道访问内部网络。"",
  ""input"": ""VPN 网关 IP 地址: 203.0.113.20。"",
  ""output"": ""1. 登录到 Juniper SRX 的 CLI。\n\n2. 输入配置模式:\n   ```
   configure
   ```\n\n3. 配置 IPsec VPN:\n   ```
   set interfaces st0.0 unit 0 family inet address 10.1.1.1/24
   set security ike policy ike-policy mode main
   set security ike policy ike-policy proposals ike-phase1
   set security ike policy ike-policy pre-shared-key ascii-text 'your-secret-key'
   set security ipsec policy ipsec-policy proposals ipsec-phase2
   set security ipsec policy ipsec-policy protocol esp
   set security ipsec vpn vpn-name bind-interface st0.0
   set security ipsec vpn vpn-name ike gateway gateway-name
   set security ipsec vpn vpn-name ike ipsec-policy ipsec-policy
   ```\n\n4. 提交配置:\n   ```
   commit
   ```\n\n5. 验证 VPN 配置:\n   ```
   show security vpn
   ```""
}",,,
,Juniper Networks SRX,"{
  ""instruction"": ""配置防火墙升级以确保设备运行最新的安全特性。"",
  ""input"": ""新固件版本: 20.4R3。"",
  ""output"": ""1. 登录到 Juniper SRX 的 CLI。\n\n2. 下载新固件到设备:\n   ```
   request system software add /var/tmp/junos-install-mx-20.4R3.tgz
   ```\n\n3. 安装新固件:\n   ```
   request system software add /var/tmp/junos-install-mx-20.4R3.tgz
   ```\n\n4. 重启设备以完成安装:\n   ```
   request system reboot
   ```\n\n5. 登录回管理界面并确认升级是否成功:\n   ```
   show version
   ```""
}",,,
,pfSense,"{
  ""instruction"": ""配置静态路由以将流量引导到特定的下一跳网关。"",
  ""input"": ""目标网络: 10.1.1.0/24，下一跳网关: 192.168.1.1。"",
  ""output"": ""1. 登录到 pfSense 的 Web 界面。\n\n2. 导航到 `System` > `Routing`。\n\n3. 在 `Routes` 选项卡下，点击 `Add` 按钮添加新路由。\n\n4. 配置静态路由参数:\n   a. 在 `Destination network` 字段中输入 `10.1.1.0/24`。\n   b. 在 `Gateway` 字段中选择或输入 `192.168.1.1`。\n\n5. 点击 `Save` 保存配置。\n\n6. 点击 `Apply Changes` 应用更改。\n\n7. 验证静态路由:\n   ```
   Diagnostics > Routes
   ```""
}
",,,
,pfSense,"{
  ""instruction"": ""配置防火墙规则以允许 HTTP 流量从内部网络到外部网络。"",
  ""input"": ""接口: LAN，源: any，目标: any，服务: HTTP。"",
  ""output"": ""1. 登录到 pfSense 的 Web 界面。\n\n2. 导航到 `Firewall` > `Rules` > `LAN`。\n\n3. 点击 `Add` 按钮添加新规则。\n\n4. 配置防火墙规则参数:\n   a. 在 `Action` 字段中选择 `Pass`。\n   b. 在 `Interface` 字段中选择 `LAN`。\n   c. 在 `Source` 字段中选择 `any`。\n   d. 在 `Destination` 字段中选择 `any`。\n   e. 在 `Protocol` 字段中选择 `TCP`，并在 `Destination port range` 字段中选择 `80` (HTTP)。\n\n5. 点击 `Save` 保存规则。\n\n6. 点击 `Apply Changes` 应用更改。\n\n7. 验证防火墙规则:\n   ```
   Firewall > Rules
   ```""
}",,,
